_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,comments,crowd_relation_type,user_confidence,crowd_relation_type_gold,form_obj_text,form_sent,form_sub_text,indicator_type,object_cui,object_desc,object_end_index,object_pref_name,object_score,object_start_index,object_stype_desc,object_stype_name,object_text,pmid,predicate,predicate_definition,predicate_end_index,predicate_start_index,predication_id,sentence,sentence_html,subject_cui,subject_desc,subject_end_index,subject_pref_name,subject_score,subject_start_index,subject_stype_desc,subject_stype_name,subject_text,uniq_id,user_confidence_gold
731283654,6/3/2015 23:01:19,false,1650715480,,6/3/2015 22:58:50,true,elite,0.6923,30312592,CAN,ON,Sudbury,66.103.55.12,,conceptually_related,confident,,"""<span class=""object_text"">intervention</span>""","Findings suggest the value of <span class=""subject_text"">meditation</span> as an <span class=""object_text"">intervention</span> strategy with survivors and demonstrate the need for further research in this area.","""<span class=""subject_text"">meditation</span>""",null,C1273869,Health Care Activity. null,59,Intervention regimes,0,47,An activity of or relating to the practice of medicine or involving the care of patients.,Health Care Activity,intervention,16617173,ISA,null,43,41,0,Findings suggest the value of meditation as an intervention strategy with survivors and demonstrate the need for further research in this area.,<div>Findings suggest the value of <strong>meditation</strong> as an <strong>intervention</strong> strategy with survivors and demonstrate the need for further research in this area.</div>,C0814263,Continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature; contemplation of spiritual matters(http://wordnet.princeton.edu/perl/webwn),40,Meditation Therapy,0,30,"A procedure, method, or technique designed to prevent a disease or a disorder, or to improve physical function, or used in the process of treating a disease or injury.",Therapeutic or Preventive Procedure,meditation,uniq_id_b0,
731283654,6/3/2015 23:01:27,false,1650715675,,6/3/2015 22:59:38,false,neodev,0.8421,33018492,VNM,20,Ho Chi Minh City,42.116.77.174,,functionally_related,very_confident,,"""<span class=""object_text"">intervention</span>""","Findings suggest the value of <span class=""subject_text"">meditation</span> as an <span class=""object_text"">intervention</span> strategy with survivors and demonstrate the need for further research in this area.","""<span class=""subject_text"">meditation</span>""",null,C1273869,Health Care Activity. null,59,Intervention regimes,0,47,An activity of or relating to the practice of medicine or involving the care of patients.,Health Care Activity,intervention,16617173,ISA,null,43,41,0,Findings suggest the value of meditation as an intervention strategy with survivors and demonstrate the need for further research in this area.,<div>Findings suggest the value of <strong>meditation</strong> as an <strong>intervention</strong> strategy with survivors and demonstrate the need for further research in this area.</div>,C0814263,Continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature; contemplation of spiritual matters(http://wordnet.princeton.edu/perl/webwn),40,Meditation Therapy,0,30,"A procedure, method, or technique designed to prevent a disease or a disorder, or to improve physical function, or used in the process of treating a disease or injury.",Therapeutic or Preventive Procedure,meditation,uniq_id_b0,
731283654,6/3/2015 23:01:32,false,1650715854,,6/3/2015 22:58:35,true,bitcoinget,0.6875,21743413,USA,WA,Lynnwood,216.186.48.32,,functionally_related,very_confident,,"""<span class=""object_text"">intervention</span>""","Findings suggest the value of <span class=""subject_text"">meditation</span> as an <span class=""object_text"">intervention</span> strategy with survivors and demonstrate the need for further research in this area.","""<span class=""subject_text"">meditation</span>""",null,C1273869,Health Care Activity. null,59,Intervention regimes,0,47,An activity of or relating to the practice of medicine or involving the care of patients.,Health Care Activity,intervention,16617173,ISA,null,43,41,0,Findings suggest the value of meditation as an intervention strategy with survivors and demonstrate the need for further research in this area.,<div>Findings suggest the value of <strong>meditation</strong> as an <strong>intervention</strong> strategy with survivors and demonstrate the need for further research in this area.</div>,C0814263,Continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature; contemplation of spiritual matters(http://wordnet.princeton.edu/perl/webwn),40,Meditation Therapy,0,30,"A procedure, method, or technique designed to prevent a disease or a disorder, or to improve physical function, or used in the process of treating a disease or injury.",Therapeutic or Preventive Procedure,meditation,uniq_id_b0,
731283654,6/3/2015 23:02:06,false,1650716578,,6/3/2015 22:58:21,true,clixsense,0.6667,13413440,DEU,05,Frankfurt Am Main,217.51.6.121,,physically_related,not_very_confident,,"""<span class=""object_text"">intervention</span>""","Findings suggest the value of <span class=""subject_text"">meditation</span> as an <span class=""object_text"">intervention</span> strategy with survivors and demonstrate the need for further research in this area.","""<span class=""subject_text"">meditation</span>""",null,C1273869,Health Care Activity. null,59,Intervention regimes,0,47,An activity of or relating to the practice of medicine or involving the care of patients.,Health Care Activity,intervention,16617173,ISA,null,43,41,0,Findings suggest the value of meditation as an intervention strategy with survivors and demonstrate the need for further research in this area.,<div>Findings suggest the value of <strong>meditation</strong> as an <strong>intervention</strong> strategy with survivors and demonstrate the need for further research in this area.</div>,C0814263,Continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature; contemplation of spiritual matters(http://wordnet.princeton.edu/perl/webwn),40,Meditation Therapy,0,30,"A procedure, method, or technique designed to prevent a disease or a disorder, or to improve physical function, or used in the process of treating a disease or injury.",Therapeutic or Preventive Procedure,meditation,uniq_id_b0,
731283654,6/3/2015 23:07:03,false,1650724185,,6/3/2015 23:03:35,false,clixsense,0.7647,30260697,ITA,13,Brindisi,2.237.137.52,,conceptually_related,not_very_confident,,"""<span class=""object_text"">intervention</span>""","Findings suggest the value of <span class=""subject_text"">meditation</span> as an <span class=""object_text"">intervention</span> strategy with survivors and demonstrate the need for further research in this area.","""<span class=""subject_text"">meditation</span>""",null,C1273869,Health Care Activity. null,59,Intervention regimes,0,47,An activity of or relating to the practice of medicine or involving the care of patients.,Health Care Activity,intervention,16617173,ISA,null,43,41,0,Findings suggest the value of meditation as an intervention strategy with survivors and demonstrate the need for further research in this area.,<div>Findings suggest the value of <strong>meditation</strong> as an <strong>intervention</strong> strategy with survivors and demonstrate the need for further research in this area.</div>,C0814263,Continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature; contemplation of spiritual matters(http://wordnet.princeton.edu/perl/webwn),40,Meditation Therapy,0,30,"A procedure, method, or technique designed to prevent a disease or a disorder, or to improve physical function, or used in the process of treating a disease or injury.",Therapeutic or Preventive Procedure,meditation,uniq_id_b0,
731283654,6/3/2015 23:10:09,false,1650728578,,6/3/2015 23:05:25,false,elite,0.75,29825265,VNM,44,Hanoi,117.0.165.29,,functionally_related,very_confident,,"""<span class=""object_text"">intervention</span>""","Findings suggest the value of <span class=""subject_text"">meditation</span> as an <span class=""object_text"">intervention</span> strategy with survivors and demonstrate the need for further research in this area.","""<span class=""subject_text"">meditation</span>""",null,C1273869,Health Care Activity. null,59,Intervention regimes,0,47,An activity of or relating to the practice of medicine or involving the care of patients.,Health Care Activity,intervention,16617173,ISA,null,43,41,0,Findings suggest the value of meditation as an intervention strategy with survivors and demonstrate the need for further research in this area.,<div>Findings suggest the value of <strong>meditation</strong> as an <strong>intervention</strong> strategy with survivors and demonstrate the need for further research in this area.</div>,C0814263,Continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature; contemplation of spiritual matters(http://wordnet.princeton.edu/perl/webwn),40,Meditation Therapy,0,30,"A procedure, method, or technique designed to prevent a disease or a disorder, or to improve physical function, or used in the process of treating a disease or injury.",Therapeutic or Preventive Procedure,meditation,uniq_id_b0,
731283654,6/3/2015 23:16:45,false,1650738417,,6/3/2015 23:12:51,false,prodege,0.8125,9559045,USA,TX,Katy,107.204.185.115,,conceptually_related,confident,,"""<span class=""object_text"">intervention</span>""","Findings suggest the value of <span class=""subject_text"">meditation</span> as an <span class=""object_text"">intervention</span> strategy with survivors and demonstrate the need for further research in this area.","""<span class=""subject_text"">meditation</span>""",null,C1273869,Health Care Activity. null,59,Intervention regimes,0,47,An activity of or relating to the practice of medicine or involving the care of patients.,Health Care Activity,intervention,16617173,ISA,null,43,41,0,Findings suggest the value of meditation as an intervention strategy with survivors and demonstrate the need for further research in this area.,<div>Findings suggest the value of <strong>meditation</strong> as an <strong>intervention</strong> strategy with survivors and demonstrate the need for further research in this area.</div>,C0814263,Continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature; contemplation of spiritual matters(http://wordnet.princeton.edu/perl/webwn),40,Meditation Therapy,0,30,"A procedure, method, or technique designed to prevent a disease or a disorder, or to improve physical function, or used in the process of treating a disease or injury.",Therapeutic or Preventive Procedure,meditation,uniq_id_b0,
731283655,6/3/2015 22:55:02,false,1650706050,,6/3/2015 22:52:37,true,bitcoinget,0.6875,21743413,USA,WA,Lynnwood,216.186.48.42,,functionally_related,very_confident,,"""<span class=""object_text"">patient</span>""","One <span class=""object_text"">patient</span> was successfully cured by <span class=""subject_text"">steroid therapy</span>, while the other did not respond to steroid but oral mesalazine was effective.","""<span class=""subject_text"">steroid therapy</span>""",null,C0030705,"Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.",11,Patients,0,4,"Modern man, the only remaining species of the Homo genus.",Human,patient,16415554,TREATS,null,34,29,0,"One patient was successfully cured by steroid therapy, while the other did not respond to steroid but oral mesalazine was effective.","<div>One <strong>patient</strong> was successfully cured by <strong>steroid therapy</strong>, while the other did not respond to steroid but oral mesalazine was effective.</div>",C0149783,"Treatment with corticosteroid drugs to reduce swelling, pain, and other symptoms of inflammation.",53,Steroid therapy,0,38,"A procedure, method, or technique designed to prevent a disease or a disorder, or to improve physical function, or used in the process of treating a disease or injury.",Therapeutic or Preventive Procedure,steroid therapy,uniq_id_b1,
731283655,6/3/2015 22:58:16,false,1650710941,,6/3/2015 22:55:37,true,clixsense,0.6667,32230559,BRA,18,Foz Do Iguaçu,189.58.92.166,,functionally_related,very_confident,,"""<span class=""object_text"">patient</span>""","One <span class=""object_text"">patient</span> was successfully cured by <span class=""subject_text"">steroid therapy</span>, while the other did not respond to steroid but oral mesalazine was effective.","""<span class=""subject_text"">steroid therapy</span>""",null,C0030705,"Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.",11,Patients,0,4,"Modern man, the only remaining species of the Homo genus.",Human,patient,16415554,TREATS,null,34,29,0,"One patient was successfully cured by steroid therapy, while the other did not respond to steroid but oral mesalazine was effective.","<div>One <strong>patient</strong> was successfully cured by <strong>steroid therapy</strong>, while the other did not respond to steroid but oral mesalazine was effective.</div>",C0149783,"Treatment with corticosteroid drugs to reduce swelling, pain, and other symptoms of inflammation.",53,Steroid therapy,0,38,"A procedure, method, or technique designed to prevent a disease or a disorder, or to improve physical function, or used in the process of treating a disease or injury.",Therapeutic or Preventive Procedure,steroid therapy,uniq_id_b1,
731283655,6/3/2015 22:59:30,false,1650712700,,6/3/2015 22:55:17,false,clixsense,0.875,31307491,AUT,"","",178.165.128.245,,functionally_related,very_confident,,"""<span class=""object_text"">patient</span>""","One <span class=""object_text"">patient</span> was successfully cured by <span class=""subject_text"">steroid therapy</span>, while the other did not respond to steroid but oral mesalazine was effective.","""<span class=""subject_text"">steroid therapy</span>""",null,C0030705,"Individuals participating in the health care system for the purpose of receiving therapeutic, diagnostic, or preventive procedures.",11,Patients,0,4,"Modern man, the only remaining species of the Homo genus.",Human,patient,16415554,TREATS,null,34,29,0,"One patient was successfully cured by steroid therapy, while the other did not respond to steroid but oral mesalazine was effective.","<div>One <strong>patient</strong> was successfully cured by <strong>steroid therapy</strong>, while the other did not respond to steroid but oral mesalazine was effective.</div>",C0149783,"Treatment with corticosteroid drugs to reduce swelling, pain, and other symptoms of inflammation.",53,Steroid therapy,0,38,"A procedure, method, or technique designed to prevent a disease or a disorder, or to improve physical function, or used in the process of treating a disease or injury.",Therapeutic or Preventive Procedure,steroid therapy,uniq_id_b1,
